id,Describe.Before,Pre_ID,PID_L.Tattoo,PID_LT_HN,PID_A.Tattoo,PID_AT_HN,PID_Both_HN,Tatt.in.Any,Q21.Tatt,Lineup.Condition,Age,Gender,Race,Sus.Fill,Lineup.Choice,Lineup,Feedback,DQ.Attention.Check,DQ.Heard.about,DQ.Heard.about.Text,Q19_Describe,Q20_Features,Q21_Easiest_to_ID,RK_1_1,RK_1_2,RK_1_3,RK_1_4,RK_1_5,Tat.RK_1_6,RK_1_7,RK_1_8,RK_1_9,RK_1_10,RK_2_1,RK_2_2,RK_2_3,RK_2_4,RK_2_5,Tat.RK_2_6,RK_2_7,RK_2_8,RK_2_9,RK_2_10,RK_3_1,RK_3_2,RK_3_3,RK_3_4,RK_3_5,Tat.RK_3_6,RK_3_7,RK_3_8,RK_3_9,RK_3_10
15482,0,,,,,,,0,0,0,19,2,1,0,4,7,0,5,2,,male wearing black hoodie,I do not remember details about the culprits appearance,I do not remember specific details about his apprearance,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,8,1,11,1,1,1,1,8,11
15844,1,one African American one Caucasian wearing all black the mid 20's w/ African American holding gun,0,0,0,0,0,1,1,1,19,2,1,0,4,3,0,5,2,,male w/ face tattoos light skin tone brown hair some facial hair,"around 150 lbs, about 5'6 w/ tattoos",the face tattoos and face structure,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,6,11,6,11,11,11,8,11,11,11
15893,1,"Both of the carjackers appeared to be tall, African American or Latino, they had facial hair and was wearing black/ dark clothing. One was armed with a firearm and the other was the driver.",0,0,0,0,0,1,0,0,18,1,4,0,4,10,1,5,2,,"Male, dark skin/tan, black hair, facial hair","Maybe ear piercings, some tattoos.","Facial hair, and structure",1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,8,9,1,11,8,7,5,6,9,11
15894,0,,,,,,,0,0,1,21,1,4,1,8,1,0,5,2,,"male, slightly dark, dont remember a tattoo, had short hair, and was wearing black clothing (both shirt and pants), he was also the driver",I do not remember,wearing all black and had a partner,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,11,11,11,11,11,8,4,11,11,11
15895,1,"One tall (maybe 5'11) dark-skinned male with black, short, very curly hair. One shorter (maybe 5'7) darker-skinned male with longer black straight hair down to the bottom of his chin, large eyes.",0,0,0,0,0,0,0,0,18,2,5,1,8,9,0,5,2,,"Male, skin was medium dark, I did not note any tattoos, the hair was darker and was about the length of a chin, he had distinctive eyes that bulged","I did not notice any tattoos, scars, piercings, etc.",I think he was the youngest in the lineup and I saw the same hair and was able to notice that he looked like he had a stare that mattered,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,9,7,11,11,9,6,6,10,7,11
15901,1,"the carjackers were dressed in all black, were armed with weapons one of them being a handgun. The race of these men one was african american one was white.",0,0,0,0,0,0,0,0,19,1,5,1,8,11,0,5,2,,they wore all black clothing and had either black or brown hair.,I didn't recognize any other features on the culprit,The color of the hair,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,2,,,,1,10,9,1,11,11,1,,,,11
15902,1,two men in all black clothing,0,0,0,0,0,1,0,1,19,2,1,1,8,4,1,5,2,,he had dark black hair with a face tattoo on his cheek under his eye,he had a mole or piercing on his left side next to his eye,he looked the youngest out of all of them,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,8,7,8,11,8,10,6,6,5,7
15906,1,"One was black, the other looked of hispanic descent. The black carjacker seemed to be roughly 5'11"" or 6'1"" and had short curly black hair, while the other seemed to be around 5'9"" light tone skin color and black trimmed hair.",0,0,0,0,0,0,0,0,20,1,1,1,8,11,0,5,2,,"Male, latino with high skin, short smooth hair. He looked to be about 5'9"" tall, somewhat think eyebrows. No tattoos.",I did not see any scars or tattoos. I believe he had a piercing on his left ear. That is all I remember. He was wearing a grey t shirt,His hair was very distinct. His facial features also stand out to me. His demeanor was also very specific. I think I could easily identify him in public.,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,1,11,11,6,11,1,8,7,7,8,11
15917,0,,,,,,,1,0,1,18,2,1,0,4,3,0,5,2,,"Male, brown skin tone, short hair, a bit small then the other culprit","some tattoos, no scars and maybe some piercings, black shirt",not much identification,1,2,2,2,1,2,1,,2,1,1,2,2,1,1,2,2,,1,1,11,7,11,11,10,7,7,,11,11
15922,0,,,,,,,1,1,0,18,2,5,0,5,11,1,5,2,,"Male, face tattoos, medium skin tone",the most distinctive thing about the culprit were the tattoos.,"I wouldn't be easy, I think my response would be, tattoos, medium skin tone, really short hair, not to tall",1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,6,5,11,9,10,11,11,4,9,10
15923,0,,,,,,,0,0,1,19,2,1,0,2,5,0,5,2,,"Tall male, brown skin, with facial hair, and tattoos on his arm","He had short hair, tattoos on his arm, he had big eyes, and full lips",He's skin tone and hair cut,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,11,8,10,11,10,5,3,10,11,11
15933,1,The carjackers were of a different race they were the minority and they came to the guy to carjack the car when he was not paying attention and they wanted his belongings.,0,0,0,0,0,1,0,1,18,1,1,1,8,1,1,5,2,,"He was a Latino he was a male, had dark skin, had one tattoo on his face, he had black or brown hair and he had black eyes, and his hair was comb to the side.",In the video I did not see that he had any tattoos however when we had to choose the suspect I noticed that he did have a tattoo on the right side of his face on his cheek.,For me I thought it was easy to identify the suspect because of his dark skin color because he had a darker skin color in the video and then in the video he had hair and when I was shown the suspects he was the only one that had hair so to me this made it easy to identify the culprit.,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,8,9,9,10,9,10,11,10,9,10
15940,1,There was one tall African American carjacker and one white carjacker and both were wearing black.,0,0,0,0,0,0,0,0,18,2,1,1,8,12,1,5,2,,"He was a male latino about 5,6 tall. He was wearing a black shirt and had black or brown hair, he was pretty light in skin tone, also had a little bit of facial hair.","He had no tattoos, scars, or distinctive features that I could see. I think I might have saw an ear piercing.",It was his hair and his skin tone,1,2,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,1,2,1,6,11,11,11,6,11,7,9,9,11
15943,1,are teen and is black and white?,0,0,0,0,0,0,0,1,19,1,1,1,8,5,1,5,2,,"brown,black hair, and male",i dont rember well but i belive it has piercings,the face,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,3,11,11,11,11,11,5,11,1,11
15945,1,"one was an alpha male with a dark skin tone who took charge of the crime. He had short afro textured hair wearing a black shirt along with dark colored pants. He was carrying a weapon appearing to be a glock in his left hand but gave it to his accomplice. The accomplice was shorter in stature with culry dark hair, short and well put together. He also had a dark colored shirt appearing black but looked more skiddish and afraid as he lingered in the back for the most part. he was given a gun by the alpha male and proceeded to carjack the car and be the driver as the alpha male dealt with the car owner.",0,0,0,0,0,0,0,0,18,2,1,1,8,12,1,5,2,,"he was a male with caramel skin tone color, curly short hair that was a dark brown or black, his lips were thin but full, eyes were an almond shape with dark eyes, his facial proportion seemed to be even, his nose straight with no bumps.",i was not able to distinguish any tattoos or scars as the setting where the crime took place was a bit dark.,His curly hair led me to identify him along with his almond shaped eyes.,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,8,9,8,8,9,7,9,9,11,10
15952,0,,,,,,,1,0,1,19,2,1,0,3,6,0,6,2,,tattoos over head and neck,tattoos,mustache,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,5,6,6,5,5,5,6
15954,0,,,,,,,0,0,0,18,2,1,1,8,11,0,5,2,,"a male latino/african american, brown skin tone, black/brown short hair, might be have an upper left arm tattoo","he looks like he has a tattoo on his upper left arm, black shirt, dark blue jeans","the way he talked, eyebrows, and his hair",1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,11,1,11,11,11,11,11,11,11,11
15955,1,"one pinned the victim and the other robbed the car, however the robber who pinned the victim, i didnt see if he got in the car.",0,0,0,0,0,0,0,1,20,1,1,1,8,6,0,5,2,,"If i can recall correctly he had short hair, had a hoddie and had black pants.",He lookes about 5'9 and we could not see any tattoos or scars or piercings since he wore heavy set of clothing,I was not able to identify with ease since they were coverd up.,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,9,9,7,11,8,7,9,7,9,11
15958,1,"two individuals, both wearing black with a face mask, one medium height looks looks 140ish pounds, second man tall and slim looks 120 pounds",0,0,0,0,0,1,0,1,18,1,1,1,8,1,1,5,2,,"male, brown, many tattoos, hair was short and black, stale face","he had tattoos near his face, no scars, no piercings.",familiarity and a gut feeling,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,8,11,8,11,11
15961,0,,,,,,,0,0,0,19,2,1,1,8,8,0,5,2,,"The male Latino had on a black shirt with i believe balck or blue pants. His skin tone was about a light , i did not see any tattoos. Dark brown/black hair with sort of a combover, chin hair, brown eyes, looked about 5'10",There were not any tattoos visible to where I was able to see them. no piercings,"The easiest thing to identify this person would be what he was wearing, his facial hair, color of hair, skin, eyes, and again clothing as well",1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,1,11,11,11,11
15964,1,"one was very aggresive and ready to take the womans car, the other seemed very anxious and hesitant, just went along when he had to.",0,0,0,0,0,0,0,1,19,2,1,0,1,2,0,5,2,,"tall lean male, black hair, black hoodie. Dont remember facial features or estimated age",dont remember,"I honeslty cant pin point his face, but i just chose the person with no facial tattoos. I dont recall seeing any, but then again I was't looking at their faces, just what they were doing",1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,11,6,8,11,11,8,3,3,9,11
15965,0,,,,,,,0,0,0,18,2,1,1,8,12,1,5,2,,He was wearing all black. He had short to mid fade hair. Between fair to tan skin tone. Male. No tattoos. Structured face meaning he wasn't over weight or under weight,No scars of piercings that I seen. This includes tattoos as well,"To best identify someone, facial features as well as appearance including hair style, height, weight, gender, or any specific markings could help best make an identification",1,2,1,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,11,11,11,11,6,11,6,11,11,11
15966,1,"Two males, black and white. They both were wearing black shirts. The black male had a gun while the white male watched.",0,0,0,0,0,0,0,0,20,2,3,1,8,7,0,5,2,,"Male, short brown/black hair, about 5'6, no tattoos","no tattoos, no piercings, and no scars","his hair, and his facial features",1,2,1,1,1,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,8,11,6,11,11,11,7,10,11,11
15967,1,African american male and white male both wearing black t-shirt and jeans,0,0,0,0,0,1,1,1,22,1,1,0,2,5,1,5,2,,"White male with brown hair around 5'9""",Tattoos on the neck and face,Tattoos,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,10,11,11,11,11,9,9,4,4,11
15972,1,There were two carjackers that were both male. The  first male was African American and appeared to be around 6 feet. He was carrying a fire arm and had a buzzcut. The second male seemed like he was hispanic or latino. He had black hair that was kind long on the top and short on the sides. He seemed shorter than the African American mall so I would say like 5'9 or 5'10. Also both men were wearing all black ( t-shirt and pants).,0,0,0,0,0,0,0,0,19,2,1,1,8,10,1,5,2,,"This man was either latino or hispanic and he was a light skinned latino. He seemed to be around 5'9 or 5'10. He had black or brown hair that curled in the front, was long on the top, and shorter on the sides. This man seem to be in good shape because he was not skinny nor overweight.",The Latino culprit did not seem to have any tattoos or body modifications. The most distinct thing about him was his hair because the other culprit had no hair.,As previously said the feature that made him stand out was his hair because compare to the other people that were lined up they had no hair that was long.,1,2,1,1,1,2,2,1,2,1,2,2,1,1,1,2,2,1,2,1,6,9,9,11,10,9,6,10,8,11
15974,1,wore all black and were aggressive,0,0,0,0,0,1,0,1,18,2,1,0,4,4,1,5,2,,Tan skin tone no tattoos and tall,maybe 1 tattoo,"narrow face, on the slimmer side",1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,5,3,8,11,8,4,5,4,9,11
15978,0,,,,,,,0,0,0,19,1,4,1,8,9,1,5,2,,"Male, light skin color, no tattoos, brown/black sort of messy top short hair, young","No visible tattoos, scars, piercings. Did have a watch/bracelet on his left arm.",The male seems to be a young college student.,1,2,1,1,2,1,2,1,2,2,2,2,1,1,,1,1,1,,1,10,8,11,11,6,11,11,11,11,11
15979,1,"Two males, with brown hair, wearing all black. One was taller than the other seemed to be around 5'9-6'0. Tan skin maybe Hispanic",0,0,0,0,0,0,0,0,18,2,1,1,8,8,1,5,2,,"male, tan skin, no visible tattoos, dark hair( brown or black) Deeper eyes","No tattoos, piercings, or scars that I could see in the video","His hair, and face because it was much different than the other men who were lined up",1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,1,9,9,6,11,10,2,1,1,1,11
15980,0,,,,,,,0,0,0,19,1,1,1,8,9,1,5,2,,"He looked to be male, about 5'9-5'10, had black hair, muscular, long black hair that stood up and combed to the side a bit","No tattoos, scars, or piercings","His face, hair, and skin tone",1,2,1,1,1,2,2,1,2,1,1,,1,1,1,,,1,,1,11,,11,11,11,,,11,,11
15981,1,The carjackers were both wearing all black outfits. One of the carjackers was black and the other one looked hispanic. They were both pretty tall but the black man was taller while the other man seemed to shorter by a few centimeters.,0,0,0,0,0,0,0,0,18,2,1,1,8,12,0,5,2,,"The Latino culprit was a man with black hair. His hair looked a little glossy and a little wavy. His skin tone was in between ivory and warm ivory. He wasn't slim but not chubby either, he looked like he was at an average weight.","He didn't seem to have any scars, no piercings or tattoos.",The easiest features of his appearance that made it easiest to identify the culprit was his hair and the face of his shape.,1,2,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,5,8,8,11,8,11,10,8,10,11
15987,0,,,,,,,0,0,0,18,1,1,1,8,10,0,5,2,,"He was white, had brown/black hair, a round face, no facial hair, head was like kind if round, no tattoos, shorter than 5'10, a man","he did not have anything, just a black tshirt","the fact that everyone that was shown had some sort of facial hair or tattoo, but the culprit has none",1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,8,11,11,11,11,11,11,11,11,11
15991,1,"one is bald, the other has black hair. the black haired guy is more lighter in skin tone. they both had all black on. Black hair: distinct eyebrows. Bald guy: olive skin tone",0,0,0,0,0,1,0,1,18,2,5,1,8,6,1,5,2,,"tattoos on face, had a shaved head but not completely bald, on the heavier side, olive skin tone","both culprits looked like they had tattoos on their face, but thats about all I remember","his hair, a quick glance at his face, maybe skin undertone",1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,10,5,5,11,4,8,7,9,6,11
15992,0,,,,,,,0,0,1,18,2,3,0,5,6,0,4,2,,"no face tattoos, pale skin, bald",no piercings or tattoos,bald,1,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,5,2,2,11,6,2,2,2,3,5
16001,0,,,,,,,0,0,0,18,2,1,1,8,7,1,5,2,,"The Latino man had medium tone skin, no visible tattoos, a rounded face, black/brown hair, did not appear to be tall.","I did not see any tattoos, scars, or piercings.","Rounded face, droopy eyes, black hair, medium skin tone.",2,2,1,1,2,2,2,1,2,1,,,1,1,,2,2,1,,1,1,1,8,11,1,8,1,9,1,11
16007,1,"There was on black male taller than the other carjacker. He was wearing a plain black t-shirt and dark wash jeans. The other carjacker had a lighter skintone, but looked to be Hispanic maybe. He wore the same outfit.",0,0,0,0,0,0,0,1,18,2,4,1,8,3,1,5,2,,"An average height male with black/dark brown, short to medium length hair. His skin tone was white but his facial features were similar to Latino males. I didn't notice any tattoos on him because of the quality of the video. He looked to be in decent shape.",I didn't notice anything specific because I was mainly focusing on the main culprit who threatened the victim.,"His face structure and his facial features such as his eyebrows, nose, mouth, etc. As well as, the other people in the lineup didn't look like the culprit I had seen or had in mind.",1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,2,2,2,1,1,6,10,10,10,8,6,8,8,10,10
16009,1,"Hispanic male, early 20's, black hair and Tall black male, early 20's. Both wearing black shirts and pants. Hispanic male looked worried/anxious.",0,0,0,0,0,0,0,1,21,2,1,1,8,1,1,5,2,,"Male, light colored skin, black short hair, round shaped face, moderate body build","Did not see tattoos, scars, nor piercings","Hair style and length, and face shape",1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,8,11,11,11,11,6,11,11,11,11
16010,1,"There were 2 tall males were one was African American around 6'0, and the second male was Hispanic/ Latino around 5'10. Both were wearing a black shirt, and dark jeans, and have dark hair.",0,0,0,0,0,1,0,1,18,2,5,1,8,2,0,5,2,,"He was a tall male around 5'10, he had dark black or brown hair, with tan skin. Wearing a black shirt with dark jeans.",I believe he did have a tattoo on his face,He was young,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,11,6,5,11,4,5,5,5,6,11
16024,1,"Male, white, dark hair, dark eyes, appear to be 5'9 or 5'10. Black shirt, black pants. One had messy hair, one had neat hair",0,0,0,0,0,1,0,1,18,1,5,0,4,3,1,5,2,,"Male, light brown skin tone, tattoo on side of face, black hair, dark eyes","I could see a tattoo on the side of his face, and he had his ears pierced","dark eyes, black hair, about 5'9 give or take an inch, not chubby but not muscular",1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,7,9,6,11,9,7,5,4,6,11
16027,1,Both of the carjackers were wearing black,0,0,0,0,0,1,0,1,18,2,1,1,8,4,1,5,2,,Male with face tattoos and black hair.,Was wearing all black,His hair and hair color.,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,8,5,6,11,4,11,6,8,3,11
16031,1,one of the carjackers was an African American male and was wearing a black t-shirt and black jeans. The other carjacker was a young hispanic male wearing a black t-shirt and jeans.,0,0,0,0,0,1,0,1,18,2,1,1,8,6,1,5,2,,"The latino culprit was a light skin male, with a small tattoo under his eye, black/brown hair, light facial hair, dark eyebrows",The latino culprit had a small tattoo under his eye and was around 5'7,the hair and eyes made it easy for me to identify him,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,9,10,7,11,8,10,10,11,9,11
16032,1,Both carjackers are wearing black shirts.One of the carjackers is a white male of a short stature. He seemed nervous and drove the car. The other is a tall black male. He was hands on and got the car keys from the scared young man.,0,0,0,0,0,1,0,1,18,2,1,1,8,6,1,5,2,,The Latino culprit was tan male and had a short stature. He has a round face and a typical teen haircut. He is not balding nor does he look old.,The Latino culprit had one tattoo near his eye.,His hair and face shape would make it easy for me to identify the culprit.,1,2,1,1,1,2,2,2,2,1,1,,1,1,2,2,1,,,1,10,11,11,11,8,6,3,11,11,11
16036,1,"Both carjackers wore a black shirt and black pants. One of the culprits was black and the other looked maybe white with dark hair, I'm not sure.",0,0,0,0,0,0,0,1,18,2,1,1,8,3,1,5,2,,"The culprit was male, looked hispanic, had brown/black hair, and a mark on his face maybe.","Going off the lineup, the culprit had a tatter above his eyebrow.",His hair was easiest for me to identify him.,1,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1,10,6,11,11,6,7,9,4,10,11
